trade,cum_return,capital,%_drawdown_from_max,losses
-1,-1,99000,-0.01,1
3.41,2.41,102375.9,0,
-1,1.41,101352.141,-0.01,1
4.85,6.26,106267.7198,0,
-1,5.26,105205.0426,-0.01,1
-1,4.26,104152.9922,-0.0199,1
-1,3.26,103111.4623,-0.029701,1
4,7.26,107235.9208,0,
-1,6.26,106163.5616,-0.01,1
-1,5.26,105101.926,-0.0199,1
-1,4.26,104050.9067,-0.029701,1
-1,3.26,103010.3976,-0.03940399,1
4.11,7.37,107244.125,0,
-1,6.37,106171.6837,-0.01,1
5.42,11.79,111926.189,0,
-1,10.79,110806.9271,-0.01,1
3.67,14.46,114873.5413,0,
4.43,18.89,119962.4392,0,
4.77,23.66,125684.6475,0,
-1,22.66,124427.8011,-0.01,1
-1,21.66,123183.5231,-0.0199,1
-1,20.66,121951.6878,-0.029701,1
-1,19.66,120732.171,-0.03940399,1
6,25.66,127976.1012,0,
0,25.66,127976.1012,0,
5.08,30.74,134477.2872,0,
-1,29.74,133132.5143,-0.01,1
-1,28.74,131801.1891,-0.0199,1
5.83,34.57,139485.1985,0,
-1,33.57,138090.3465,-0.01,1
-1,32.57,136709.443,-0.0199,1
3.2,35.77,141084.1452,0,
-1,34.77,139673.3037,-0.01,1
3.76,38.53,144925.02,0,
2.995,41.525,149265.5243,0,
-1,40.525,147772.8691,-0.01,1
3.3,43.825,152649.3737,0,
-1,42.825,151122.88,-0.01,1
-1,41.825,149611.6512,-0.0199,1
2.78,44.605,153770.8551,0,
2.93,47.535,158276.3412,0,
-1,46.535,156693.5778,-0.01,1
-1,45.535,155126.642,-0.0199,1
-1,44.535,153575.3756,-0.029701,1
2.04,46.575,156708.3132,-0.0099069,
-1,45.575,155141.2301,-0.019807831,1
3.96,49.535,161284.8228,0,
-1,48.535,159671.9746,-0.01,1
-1,47.535,158075.2548,-0.0199,1
-1,46.535,156494.5023,-0.029701,1
-1,45.535,154929.5573,-0.03940399,1
-1,44.535,153380.2617,-0.04900995,1
-1,43.535,151846.4591,-0.058519851,1
-1,42.535,150327.9945,-0.067934652,1
0,42.535,150327.9945,-0.067934652,
10.18,52.715,165631.3843,0,
4.39,57.105,172902.6021,0,
-1,56.105,171173.5761,-0.01,1
-1,55.105,169461.8403,-0.0199,1
-1,54.105,167767.2219,-0.029701,1
-1,53.105,166089.5497,-0.03940399,1
-1,52.105,164428.6542,-0.04900995,1
7.81,59.915,177270.5321,0,
-1,58.915,175497.8268,-0.01,1
-1,57.915,173742.8485,-0.0199,1
2.98,60.895,178920.3854,0,
-1,59.895,177131.1815,-0.01,1
2.98,62.875,182409.6907,0,
-1,61.875,180585.5938,-0.01,1
0,61.875,180585.5938,-0.01,
-1,60.875,178779.7379,-0.0199,1
0,60.875,178779.7379,-0.0199,
-1,59.875,176991.9405,-0.029701,1
-1,58.875,175222.0211,-0.03940399,1
3.59,62.465,181512.4917,-0.004918593,
3,65.465,186957.8664,0,
0,65.465,186957.8664,0,
-1,64.465,185088.2877,-0.01,1
-1,63.465,183237.4049,-0.0199,1
3.27,66.735,189229.268,0,
-1,65.735,187336.9753,-0.01,1
-1,64.735,185463.6056,-0.0199,1
0,64.735,185463.6056,-0.0199,
4.12,68.855,193104.7061,0,
4.54,73.395,201871.6598,0,
0,73.395,201871.6598,0,
-1,72.395,199852.9432,-0.01,1
-1,71.395,197854.4137,-0.0199,1
3.56,74.955,204898.0309,0,
1.515,76.47,208002.236,0,
0,76.47,208002.236,0,
-1,75.47,205922.2137,-0.01,1
-1,74.47,203862.9915,-0.0199,1
-1,73.47,201824.3616,-0.029701,1
3.25,76.72,208383.6534,0,
3.89,80.61,216489.7775,0,
3.29,83.9,223612.2912,0,
-1,82.9,221376.1683,-0.01,1
-1,81.9,219162.4066,-0.0199,1
-1,80.9,216970.7825,-0.029701,1
4.14,85.04,225953.3729,0,
-1,84.04,223693.8392,-0.01,1
-1,83.04,221456.9008,-0.0199,1
-1,82.04,219242.3318,-0.029701,1
-1,81.04,217049.9085,-0.03940399,1
-1,80.04,214879.4094,-0.04900995,1
3.51,83.55,222421.6767,-0.015630199,
4.14,87.69,231629.9341,0,
-1,86.69,229313.6347,-0.01,1
-1,85.69,227020.4984,-0.0199,1
3.48,89.17,234920.8117,0,
-1,88.17,232571.6036,-0.01,1
4.6,92.77,243269.8974,0,
4.41,97.18,253998.0998,0,
-1,96.18,251458.1188,-0.01,1
4.82,101,263578.4002,0,
-1,100,260942.6162,-0.01,1
3.25,103.25,269423.2512,0,
3.07,106.32,277694.545,0,
0,106.32,277694.545,0,
-1,105.32,274917.5996,-0.01,1
-1,104.32,272168.4236,-0.0199,1
-1,103.32,269446.7393,-0.029701,1
-1,102.32,266752.2719,-0.03940399,1
-1,101.32,264084.7492,-0.04900995,1
-1,100.32,261443.9017,-0.058519851,1
-0.2,100.12,260921.0139,-0.060402811,1
4.1,104.22,271618.7755,-0.021879326,
3.27,107.49,280500.7094,0,
-1,106.49,277695.7024,-0.01,1
3.3,109.79,286859.6605,0,
-1,108.79,283991.0639,-0.01,1
-1,107.79,281151.1533,-0.0199,1
-1,106.79,278339.6418,-0.029701,1
-1,105.79,275556.2453,-0.03940399,1
0,105.79,275556.2453,-0.03940399,
-1,104.79,272800.6829,-0.04900995,1
-1,103.79,270072.6761,-0.058519851,1
-1,102.79,267371.9493,-0.067934652,1
-1,101.79,264698.2298,-0.077255306,1
3.96,105.75,275180.2797,-0.040714616,
-1,104.75,272428.4769,-0.05030747,1
-1,103.75,269704.1921,-0.059804395,1
-1,102.75,267007.1502,-0.069206351,1
-1,101.75,264337.0787,-0.078514287,1
-1,100.75,261693.7079,-0.087729144,1
-1,99.75,259076.7708,-0.096851853,1
5.41,105.16,273092.8241,-0.047991538,
3.32,108.48,282159.5059,-0.016384857,
-1,107.48,279337.9108,-0.026221009,1
3.89,111.37,290204.1556,0,
-0.2,111.17,289623.7473,-0.002,1
3.23,114.4,298978.5943,0,
-1,113.4,295988.8084,-0.01,1
-1,112.4,293028.9203,-0.0199,1
5.35,117.75,308705.9675,0,
